Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z,cost
1,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43,3.5889725367921024
2,0.21,Premium,E,SI1,59.8,61.0,326,3.89,3.84,2.31,9.003950746885478
3,0.23,Good,E,VS1,56.9,65.0,327,4.05,4.07,2.31,9.92983944021448
4,0.29,Premium,I,VS2,62.4,58.0,334,4.2,4.23,2.63,6.336547859098002
5,0.31,Good,J,SI2,63.3,58.0,335,4.34,4.35,2.75,5.5446593868543745
6,0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,7.27033068231102
7,0.24,Very Good,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,7.386318334334269
8,0.26,Very Good,H,SI1,61.9,55.0,337,4.07,4.11,2.53,4.039717711097626
9,0.22,Fair,E,VS2,65.1,61.0,337,3.87,3.78,2.49,9.867610254250561
10,0.23,Very Good,H,VS1,59.4,61.0,338,4.0,4.05,2.39,8.402237791169984
11,0.3,Good,J,SI1,64.0,55.0,339,4.25,4.28,2.73,9.261054538031289
12,0.23,Ideal,J,VS1,62.8,56.0,340,3.93,3.9,2.46,5.864468871637271
13,0.22,Premium,F,SI1,60.4,61.0,342,3.88,3.84,2.33,6.066057681297154
14,0.31,Ideal,J,SI2,62.2,54.0,344,4.35,4.37,2.71,6.7673812575576475
15,0.2,Premium,E,SI2,60.2,62.0,345,3.79,3.75,2.27,3.6741554255418487
16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68,6.0244786075977155
17,0.3,Ideal,I,SI2,62.0,54.0,348,4.31,4.34,2.68,0.6568728916302369
18,0.3,Good,J,SI1,63.4,54.0,351,4.23,4.29,2.7,6.5827682044319005
19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71,9.663062128665498
20,0.3,Very Good,J,SI1,62.7,59.0,351,4.21,4.27,2.66,1.8169226862127164
21,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71,1.4520839709293298
22,0.23,Very Good,E,VS2,63.8,55.0,352,3.85,3.92,2.48,0.1773481993851922
23,0.23,Very Good,H,VS1,61.0,57.0,353,3.94,3.96,2.41,7.815795522263872
24,0.31,Very Good,J,SI1,59.4,62.0,353,4.39,4.43,2.62,8.101991632458212
