Brute Force,Dynamic Programming,Greedy,Tabu Search,Simulated Annealing,Genetic Algorithm,Ant Colony Optimization,Particle Swarm Optimization
,,,,,,3170.0,0.0
,,,,,,6825.0,0.0
,,,,,,10285.0,0.0
,,,,,,3866.0,0.0
,,,,,,2413.0,0.0
,,,,,,5170.0,0.0
,,,,,,2955.0,0.0
,,,,,,1784.0,0.0
,,,,,,4773.0,0.0
,,,,,,904.0,0.0
,,,,,,4771.0,0.0
,,,,,,4920.0,0.0
,,,,,,5118.0,0.0
,,,,,,7369.0,0.0
,,,,,,2349.0,0.0
,,,,,,9038.0,0.0
,,,,,,4673.0,0.0
,,,,,,5524.0,0.0
,,,,,,3313.0,0.0
,,,,,,3865.0,0.0
,,,,,,4622.0,0.0
,,,,,,3665.0,0.0
,,,,,,10281.0,0.0
,,,,,,1510.0,0.0
,,,,,,958.0,0.0
,,,,,,2969.0,0.0
,,,,,,2062.0,0.0
,,,,,,1308.0,0.0
,,,,,,1106.0,0.0
,,,,,,1308.0,0.0
,,,,,,2366.0,0.0
,,,,,,2212.0,0.0
,,,,,,7930.0,0.0
,,,,,,4574.0,0.0
,,,,,,6829.0,0.0
,,,,,,2913.0,0.0
,,,,,,6826.0,0.0
,,,,,,4910.0,0.0
,,,,,,3923.0,0.0
,,,,,,7529.0,0.0
,,,,,,4018.0,0.0
,,,,,,2465.0,0.0
,,,,,,1805.0,0.0
,,,,,,1635.0,0.0
,,,,,,2565.0,0.0
,,,,,,5174.0,0.0
,,,,,,2563.0,0.0
,,,,,,4216.0,0.0
,,,,,,2417.0,0.0
,,,,,,4267.0,0.0
,,,,,,891.0,0.0
,,,,,,2012.0,0.0
,,,,,,3307.0,0.0
,,,,,,9731.0,0.0
,,,,,,881.0,0.0
,,,,,,2621.0,0.0
,,,,,,1106.0,0.0
,,,,,,6222.0,0.0
,,,,,,6071.0,0.0
,,,,,,2210.0,0.0
,,,,,,3313.0,0.0
,,,,,,2739.0,0.0
,,,,,,7867.0,0.0
,,,,,,4967.0,0.0
,,,,,,2363.0,0.0
,,,,,,4767.0,0.0
,,,,,,9234.0,0.0
,,,,,,4769.0,0.0
,,,,,,8282.0,0.0
,,,,,,5173.0,0.0
,,,,,,9786.0,0.0
,,,,,,2368.0,0.0
,,,,,,3321.0,0.0
,,,,,,6823.0,0.0
,,,,,,4624.0,0.0
,,,,,,1862.0,0.0
,,,,,,5376.0,0.0
,,,,,,4970.0,0.0
,,,,,,2014.0,0.0
,,,,,,4604.0,0.0
,,,,,,4068.0,0.0
,,,,,,2368.0,0.0
,,,,,,6976.0,0.0
,,,,,,5022.0,0.0
,,,,,,2367.0,0.0
,,,,,,8984.0,0.0
,,,,,,4972.0,0.0
,,,,,,5116.0,0.0
,,,,,,4271.0,0.0
,,,,,,3866.0,0.0
,,,,,,2616.0,0.0
,,,,,,3518.0,0.0
,,,,,,5873.0,0.0
,,,,,,4068.0,0.0
,,,,,,5521.0,0.0
,,,,,,7175.0,0.0
,,,,,,5513.0,0.0
,,,,,,4769.0,0.0
,,,,,,10136.0,0.0
,,,,,,6965.0,0.0
,,,,,,2608.0,0.0
,,,,,,5579.0,0.0
,,,,,,11043.0,0.0
,,,,,,2554.0,0.0
,,,,,,4266.0,0.0
,,,,,,5498.0,0.0
,,,,,,958.0,0.0
,,,,,,4067.0,0.0
,,,,,,4557.0,0.0
,,,,,,3665.0,0.0
,,,,,,1106.0,0.0
,,,,,,2211.0,0.0
,,,,,,6082.0,0.0
,,,,,,1308.0,0.0
,,,,,,2412.0,0.0
,,,,,,2968.0,0.0
,,,,,,4822.0,0.0
,,,,,,7929.0,0.0
,,,,,,2916.0,0.0
,,,,,,5527.0,0.0
,,,,,,8285.0,0.0
,,,,,,5022.0,0.0
,,,,,,6131.0,0.0
,,,,,,958.0,0.0
,,,,,,6625.0,0.0
,,,,,,954.0,0.0
,,,,,,9037.0,0.0
,,,,,,6826.0,0.0
,,,,,,2012.0,0.0
,,,,,,4554.0,0.0
,,,,,,4618.0,0.0
,,,,,,805.0,0.0
,,,,,,2415.0,0.0
,,,,,,3665.0,0.0
,,,,,,5122.0,0.0
,,,,,,1651.0,0.0
,,,,,,2207.0,0.0
,,,,,,5576.0,0.0
,,,,,,4270.0,0.0
,,,,,,9734.0,0.0
,,,,,,7731.0,0.0
,,,,,,6766.0,0.0
,,,,,,7930.0,0.0
,,,,,,2417.0,0.0
,,,,,,2968.0,0.0
,,,,,,4270.0,0.0
,,,,,,9384.0,0.0
,,,,,,2969.0,0.0
,,,,,,2666.0,0.0
,,,,,,3665.0,0.0
,,,,,,11092.0,0.0
,,,,,,9731.0,0.0
,,,,,,11390.0,0.0
,,,,,,11588.0,0.0
,,,,,,12491.0,0.0
,,,,,,9380.0,0.0
,,,,,,11239.0,0.0
,,,,,,10838.0,0.0
,,,,,,3865.0,0.0
,,,,,,12491.0,0.0
,,,,,,11390.0,0.0
,,,,,,7526.0,0.0
,,,,,,9731.0,0.0
,,,,,,10688.0,0.0
,,,,,,11244.0,0.0
,,,,,,12542.0,0.0
,,,,,,12140.0,0.0
,,,,,,12491.0,0.0
,,,,,,6976.0,0.0
,,,,,,12491.0,0.0
,,,,,,3313.0,0.0
,,,,,,9731.0,0.0
,,,,,,11189.0,0.0
,,,,,,9038.0,0.0
,,,,,,9036.0,0.0
,,,,,,9731.0,0.0
,,,,,,11588.0,0.0
,,,,,,12491.0,0.0
,,,,,,11588.0,0.0
,,,,,,9731.0,0.0
,,,,,,9734.0,0.0
,,,,,,9731.0,0.0
,,,,,,12144.0,0.0
,,,,,,12491.0,0.0
,,,,,,11588.0,0.0
,,,,,,11041.0,0.0
,,,,,,12491.0,0.0
,,,,,,9734.0,0.0
,,,,,,11588.0,0.0
,,,,,,12491.0,0.0
,,,,,,11588.0,0.0
,,,,,,11588.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,9782.0,0.0
,,,,,,12491.0,0.0
,,,,,,10688.0,0.0
,,,,,,10285.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,9731.0,0.0
,,,,,,9380.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,9782.0,0.0
,,,,,,11588.0,0.0
,,,,,,9731.0,0.0
,,,,,,12491.0,0.0
,,,,,,10287.0,0.0
,,,,,,11588.0,0.0
,,,,,,12491.0,0.0
,,,,,,8484.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,12144.0,0.0
,,,,,,7315.0,0.0
,,,,,,3313.0,0.0
,,,,,,9734.0,0.0
,,,,,,9527.0,0.0
,,,,,,12491.0,0.0
,,,,,,11588.0,0.0
,,,,,,12491.0,0.0
,,,,,,6976.0,0.0
,,,,,,12342.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,11390.0,0.0
,,,,,,12542.0,0.0
,,,,,,12491.0,0.0
,,,,,,12542.0,0.0
,,,,,,11995.0,0.0
,,,,,,9734.0,0.0
,,,,,,9731.0,0.0
,,,,,,12491.0,0.0
,,,,,,11392.0,0.0
,,,,,,9734.0,0.0
,,,,,,10688.0,0.0
,,,,,,12140.0,0.0
,,,,,,9731.0,0.0
,,,,,,6420.0,0.0
,,,,,,12491.0,0.0
,,,,,,9734.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,12342.0,0.0
,,,,,,10838.0,0.0
,,,,,,8482.0,0.0
,,,,,,10890.0,0.0
,,,,,,12342.0,0.0
,,,,,,9734.0,0.0
,,,,,,12542.0,0.0
,,,,,,9734.0,0.0
,,,,,,12491.0,0.0
,,,,,,12491.0,0.0
,,,,,,11390.0,0.0
,,,,,,9732.0,0.0
,,,,,,11588.0,0.0
,,,,,,10637.0,0.0
,,,,,,11588.0,0.0
,,,,,,10137.0,0.0
,,,,,,12491.0,0.0
,,,,,,10838.0,0.0
,,,,,,12491.0,0.0
,,,,,,12542.0,0.0
,,,,,,7729.0,0.0
,,,,,,11241.0,0.0
