Brute Force,Dynamic Programming,Greedy,Tabu Search,Simulated Annealing,Genetic Algorithm,Ant Colony Optimization,Particle Swarm Optimization
,,,171.0,117,,,
,,,171.0,117,,,
,,,171.0,117,,,
,,,194.0,152,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,194.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,199,,,
,,,206.0,242,,,
,,,206.0,242,,,
,,,206.0,242,,,
,,,206.0,242,,,
,,,224.0,242,,,
,,,224.0,242,,,
,,,224.0,242,,,
,,,224.0,242,,,
,,,227.0,253,,,
,,,227.0,253,,,
,,,227.0,253,,,
,,,227.0,253,,,
,,,227.0,253,,,
,,,227.0,253,,,
,,,227.0,253,,,
,,,227.0,290,,,
,,,227.0,290,,,
,,,227.0,290,,,
,,,227.0,290,,,
,,,238.0,290,,,
,,,238.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
,,,294.0,290,,,
