Brute Force,Dynamic Programming,Greedy,Tabu Search,Simulated Annealing,Genetic Algorithm,Ant Colony Optimization,Particle Swarm Optimization
295.0,295.0,294.0,170,195,253,295.0,176
295.0,295.0,294.0,170,195,253,279.0,253
295.0,295.0,294.0,213,195,273,279.0,253
295.0,295.0,294.0,216,195,274,293.0,253
295.0,295.0,294.0,216,195,279,295.0,253
295.0,295.0,294.0,216,195,279,279.0,253
295.0,295.0,294.0,216,195,279,295.0,253
295.0,295.0,294.0,216,195,279,293.0,253
295.0,295.0,294.0,216,195,283,295.0,285
295.0,295.0,294.0,216,195,283,295.0,285
295.0,295.0,294.0,216,195,283,295.0,294
295.0,295.0,294.0,216,195,283,295.0,294
295.0,295.0,294.0,231,195,283,295.0,295
295.0,295.0,294.0,231,195,283,295.0,295
295.0,295.0,294.0,231,195,283,295.0,295
295.0,295.0,294.0,231,195,283,295.0,295
295.0,295.0,294.0,234,195,283,295.0,295
295.0,295.0,294.0,237,195,283,295.0,295
295.0,295.0,294.0,237,195,283,295.0,295
295.0,295.0,294.0,237,195,283,295.0,295
295.0,295.0,294.0,237,195,283,295.0,295
295.0,295.0,294.0,237,195,283,295.0,295
295.0,295.0,294.0,237,195,283,295.0,295
295.0,295.0,294.0,237,195,283,295.0,295
295.0,295.0,294.0,237,195,290,295.0,295
295.0,295.0,294.0,237,195,290,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,237,195,293,295.0,295
295.0,295.0,294.0,285,195,293,295.0,295
295.0,295.0,294.0,285,250,293,295.0,295
295.0,295.0,294.0,285,250,293,295.0,295
295.0,295.0,294.0,285,260,293,295.0,295
295.0,295.0,294.0,285,260,293,295.0,295
295.0,295.0,294.0,285,260,293,295.0,295
295.0,295.0,294.0,285,260,293,295.0,295
295.0,295.0,294.0,285,260,293,295.0,295
295.0,295.0,294.0,285,260,293,295.0,295
295.0,295.0,294.0,285,280,293,295.0,295
295.0,295.0,294.0,285,280,293,295.0,295
295.0,295.0,294.0,285,280,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,293,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
295.0,295.0,294.0,285,290,294,295.0,295
