Brute Force,Dynamic Programming,Greedy,Tabu Search,Simulated Annealing,Genetic Algorithm,Ant Colony Optimization,Particle Swarm Optimization
295.0,295.0,294.0,168,63,279,279.0,295
295.0,295.0,294.0,168,95,287,279.0,295
295.0,295.0,294.0,168,105,287,295.0,295
295.0,295.0,294.0,168,160,287,295.0,295
295.0,295.0,294.0,168,160,288,295.0,295
295.0,295.0,294.0,168,160,288,260.0,295
295.0,295.0,294.0,212,160,288,295.0,295
295.0,295.0,294.0,214,160,288,295.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,214,160,290,279.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,214,160,290,295.0,295
295.0,295.0,294.0,227,160,290,295.0,295
295.0,295.0,294.0,227,160,290,295.0,295
295.0,295.0,294.0,227,160,290,295.0,295
295.0,295.0,294.0,227,160,290,295.0,295
295.0,295.0,294.0,227,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,295.0,295
295.0,295.0,294.0,250,160,290,279.0,295
295.0,295.0,294.0,250,160,290,259.0,295
295.0,295.0,294.0,250,208,290,295.0,295
295.0,295.0,294.0,250,208,290,279.0,295
295.0,295.0,294.0,283,208,290,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,279.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,208,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,224,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
295.0,295.0,294.0,283,255,294,295.0,295
